methodName,date,threadName
getRestaurantByName,27.05.2021.16.31.44,AWT-EventQueue-0
ReadFood,27.05.2021.16.31.44,AWT-EventQueue-0
ReadDrinks,27.05.2021.16.31.44,AWT-EventQueue-0
Read,27.05.2021.16.32.03,main
Read,27.05.2021.16.32.03,main
getRestaurantByName,27.05.2021.16.32.09,AWT-EventQueue-0
ReadFood,27.05.2021.16.32.09,AWT-EventQueue-0
ReadDrinks,27.05.2021.16.32.09,AWT-EventQueue-0
Read,27.05.2021.16.32.25,main
Read,27.05.2021.16.32.25,main
getRestaurantByName,27.05.2021.16.32.29,AWT-EventQueue-0
ReadFood,27.05.2021.16.32.29,AWT-EventQueue-0
ReadDrinks,27.05.2021.16.32.29,AWT-EventQueue-0
Read,27.05.2021.16.32.44,main
Read,27.05.2021.16.32.44,main
getRestaurantByName,27.05.2021.16.32.48,AWT-EventQueue-0
ReadFood,27.05.2021.16.32.48,AWT-EventQueue-0
ReadDrinks,27.05.2021.16.32.48,AWT-EventQueue-0
Read,27.05.2021.16.33.56,main
Read,27.05.2021.16.33.57,main
getRestaurantByName,27.05.2021.16.34.00,AWT-EventQueue-0
ReadFood,27.05.2021.16.34.00,AWT-EventQueue-0
ReadDrinks,27.05.2021.16.34.01,AWT-EventQueue-0
Read,27.05.2021.16.34.15,main
Read,27.05.2021.16.34.15,main
getRestaurantByName,27.05.2021.16.34.21,AWT-EventQueue-0
ReadFood,27.05.2021.16.34.21,AWT-EventQueue-0
ReadDrinks,27.05.2021.16.34.21,AWT-EventQueue-0
Read,27.05.2021.16.34.39,main
Read,27.05.2021.16.34.39,main
getRestaurantByName,27.05.2021.16.34.42,AWT-EventQueue-0
ReadFood,27.05.2021.16.34.43,AWT-EventQueue-0
ReadDrinks,27.05.2021.16.34.43,AWT-EventQueue-0
Read,27.05.2021.16.34.53,main
Read,27.05.2021.16.34.53,main
getRestaurantByName,27.05.2021.16.34.56,AWT-EventQueue-0
ReadFood,27.05.2021.16.34.56,AWT-EventQueue-0
ReadDrinks,27.05.2021.16.34.57,AWT-EventQueue-0
Read,27.05.2021.16.35.12,main
Read,27.05.2021.16.35.12,main
getRestaurantByName,27.05.2021.16.35.17,AWT-EventQueue-0
ReadFood,27.05.2021.16.35.17,AWT-EventQueue-0
ReadDrinks,27.05.2021.16.35.17,AWT-EventQueue-0
Read,27.05.2021.16.35.42,main
Read,27.05.2021.16.35.42,main
getRestaurantByName,27.05.2021.16.35.46,AWT-EventQueue-0
ReadFood,27.05.2021.16.35.46,AWT-EventQueue-0
ReadDrinks,27.05.2021.16.35.47,AWT-EventQueue-0
Read,27.05.2021.16.36.04,main
Read,27.05.2021.16.36.04,main
getRestaurantByName,27.05.2021.16.36.07,AWT-EventQueue-0
ReadFood,27.05.2021.16.36.07,AWT-EventQueue-0
ReadDrinks,27.05.2021.16.36.07,AWT-EventQueue-0
Read,27.05.2021.16.37.52,main
Read,27.05.2021.16.37.53,main
getRestaurantByName,27.05.2021.16.37.58,AWT-EventQueue-0
ReadFood,27.05.2021.16.37.58,AWT-EventQueue-0
ReadDrinks,27.05.2021.16.37.58,AWT-EventQueue-0
Read,27.05.2021.16.38.49,main
Read,27.05.2021.16.38.49,main
getRestaurantByName,27.05.2021.16.38.53,AWT-EventQueue-0
ReadFood,27.05.2021.16.38.53,AWT-EventQueue-0
ReadDrinks,27.05.2021.16.38.53,AWT-EventQueue-0
Read,27.05.2021.16.41.20,main
Read,27.05.2021.16.41.20,main
getRestaurantByName,27.05.2021.16.41.24,AWT-EventQueue-0
ReadFood,27.05.2021.16.41.24,AWT-EventQueue-0
ReadDrinks,27.05.2021.16.41.24,AWT-EventQueue-0
Read,27.05.2021.16.42.15,main
Read,27.05.2021.16.42.15,main
getRestaurantByName,27.05.2021.16.42.19,AWT-EventQueue-0
ReadFood,27.05.2021.16.42.19,AWT-EventQueue-0
ReadDrinks,27.05.2021.16.42.19,AWT-EventQueue-0
